Skin Type,Usage Periode,Review,Rating,Label
"Oily, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : PR Package,suka banget serum gentle encapsulated aman pakai even beginner tekturnya nyaman cepat resap bulirbulirnya pudar bikin firming jerawat kayak keren banget produk,5,Positive
"Oily, Light, Cool",Usage Period : 3 months - 6 monthsPurchase Point : Brand Website,suka pakai banget retinol baik mantap banget bikin wajah glowing halus kecil pori pakai selang seling serum exfo niacinamaide hasil bagus banget cocok liat jerawat minyak,5,Positive
"Normal, Medium, Warm",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,texturenya enak bulir halus dalam serum easy apply paham percentage retinol dalam pakai ku aman banget efek kering pakai percentage retinolnya sok far aman nyaman kulit mula,4,Positive
"Combination, Medium Light, Neutral",Usage Period : More than 1 yearPurchase Point : Shopee,coba pakai retinol coba deh pakai gentle encapsulated keras kulit kali pakai retinol pakai minggu kali pakai sunscreen besok sok far aman banget mulus kulitkuu,5,Positive
"Dry, Light, Cool",Usage Period : More than 1 yearPurchase Point : Shopee,retinol bagus banget mula encapsulated harsh kulit serum dikombinasiin moisturizernya deh perfect combo ngelembapin kuliiit banget muncul jerawat kalo pakein serum tuh langsung hilang paginyaa gajadi muncul huhu love banget pakai banget hasil darkspot pudar smiling line pudar,5,Positive
"Oily, Light, Cool",Usage Period : More than 1 yearPurchase Point : Shopee,turut retinol nyaman mula pakai kali minggu suka pakai malam pagi kulit rasa kenyal plumpy skintific sensasi panas bikin ngelupas kesan harsh kulit catat wajib apply sunscreen besok pagi ya lengkap hasil sih turut,5,Positive
"Oily, Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,pakai bareng truffle biome skintific cepat serap hidrasi kulit sok far kulit pakai malam besok pagi asa lembab kenyal asa sehat banget kulit,5,Positive
"Combination, Medium Light, Warm",Usage Period : More than 1 yearPurchase Point : Tokopedia,coba smile line panik pasti iklan skintific retinol sliweran feed mikir cowok beli minus pakai tau pakai produk bruntusan  cocok kagak ngarti ku abisin sayang  tekstur kental wangi ringan banget,3,Neutral
"Combination, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,produk lucu konsistensi gel bening encapsulated retinol beadsnya pecah usap kulit hitung retinol serum moisturizer retinol skintific bagus timbul purging efek negatif panas gatel kulit merah pakai malam efek bagus bantu mulus kulit wajah leher downsidenya habis pakai glitter emas kilap kulit,4,Positive
"Combination, Medium Light, Neutral",Usage Period : More than 1 yearPurchase Point : Sociolla,serum retinol coba ya harga affordable banget makek nya pas malam tidur pagi bikin kulit kenyal layer moiisturiser hasil maksimal sok far satisfied result nya,5,Positive
"Normal, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,produk bilang ngaruh kulit bagus jelek inti tarik beli kemas bagus buat botol kaca transparan mewah reviewnya bagus kulit mending pakai retinol olay mi kulit serum skintific cocok mula pakai retinol,3,Neutral
"Oily, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,beli review tiktok bilang retinol bagus banget pas pakai cocok bikin jerawat tipe kulit oily acne pakai efek kayak tarik cuman ya cocok lanjut pemakainnya,2,Negative
"Dry, Medium, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Blibli.com,tarik iklan seliwer socmeddan pengin coba pakai krim koreatapi krim cocok muka akumuka kering banget beruntus,2,Negative
"Normal, Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : Shopee,bagus pol suka pakai bunda cocok coba pakai malam dannn taraaa bangun bangun muka langsung glowing mulus banget produk cepat resap bau sih turut comfy product manja muka xixiixi,5,Positive
"Dry, Medium, Warm",Usage Period : 6 months - 1 yearPurchase Point : Shopee,tahun maybe habis tinggal dikit alas ya ngaruh pakai efek buruk kayak sayang buang duit doang maaf ya pakai ngabisin doang biar sayang,3,Neutral
"Combination, Medium Dark, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : XBeauty by Female Daily,serum skintific bikin kulit flawless tekstur lembut bikin kering hasil noticeable retinolnya bikin iritasi cocok mula retinol kulit kenyal poripori susut packagingnya oke harga reasonable recommended banget  skintific retinolserumreview,4,Positive
"Combination, Medium Light, Cool",Usage Period : 3 months - 6 monthsPurchase Point : Sociolla,suka banget pakai serum temu product skintific gentle retinol renewal serum kemas pump gampang bawa kemanamana tumpah efek lembap rawat kulit tanda tuan,5,Positive
"Combination, Dark, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,kulit kering produk cocok banget kulit kering kusam pori pori nonjol mata hidung kalo pakai tonjol kurang muka cerah tekstur kurang btw pakai moisturizernya nampol ceramide muka mulus pokok pakai kali minggu ya pakai tekstur muka,5,Positive
"Oily, Medium Light, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,eh bentar iya tulis reference pribadi ya bagus kalo cocok teman teman asa pelembab doang maahhhhh ya lembab ya plumpy ngubah bikin tekstur muka baik biasssa ajaaah bad,3,Neutral
"Combination, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,sok far bagus banget sih serum anti agingnya encapsulated retinol dalam pas pakai lengket bau sengat langsung serap kulit bikin kulit kenyal kepala cari serum anti aging hilang kerut garis garis halus wajah sih bintang,5,Positive
"Normal, Light, Cool",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,beli paket moistnya diskon pakai sih sisa overall serum bagus tekstur watery gel cepat serap feels cekatcekit aroma tipis ganggu habis pakai wajah lembab kayak moistnya kurang packaging beda bentuk packagingnya pakai pump cocok tekstur serum cair plastik pumpnya mudah kelupas foto kelupas kadang hatihati suka tempel tangan serum pas pump lebih,4,Positive
"Dry, Medium Dark, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Tiktok,serum pakai bareng moisnya efek sih serum booster nampol asa kayak lembab moisnya efek pakai retinol langsung efek glowingnya sih aku,1,Negative
"Dry, Light, Warm",Usage Period : 1 week - 1 monthPurchase Point : Shopee,kalo bilang ramah retinol bulshit pakai besok jidat luka kayak kulit kelupas merah perih sih kaget ngapa kapai ngeri retinol semalem habis pakai banyak pakenya wkwk jangka pakai minggu tonerku aman aneh aneh banyak wkwk kapok deh entar kalo pakai dikit butir diratain muka efek psikis takut kalo pakai efek anti aging nanem takut alam seram,1,Negative
"Combination, Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : PR Package,klaim timereleased technology cepat efektif timbul iritasi aman lu skin barrier rusak kulit sensitif lawan garis halus kerut hasil signifikan minggu pakai kembali elastisitas encang jaga skin barrier kunci kelembabankulit halus kencang ingredients encaptulated retinol retinol retinal hydoroxypinacolone retinoate kali ceramides ns ng npap eop peptides gabung maytixyl peptide skn ake peptide acetyl tetrapeptide niacinamide dipotassium glycyrrhizate sodium hyaluronate centella asiatica ext tocopheroletc notable effect antiaging antioxidant antiacne brightening soothing hydrating note paraben alcohol sls mineral oil fragrance silicone fungal acne safe bpom skin type cara pakai pump malam design simple dominasi warna gold lengkap dus plastik bungkus produk botol kaca tebal aplikator airless pump tekstur gel watery bening bulir gold mudah rata cepat serap lengket ringan nyaman efek ademin lembabin kulitada wangi floral alergi tingling burning cekat cekit gatel perih efek rasa bikin kulit adem kenyal halus lifted cerah kusam esok hari asa halussehat plumpy kenyal glowing cerah pakai bantu banget memperbaikin kulit gradakan habis mens bantu rawat jerawat ngempesin pudar bekas jerawat utus jerawat jarang muncul minim banget tekstur kulit kasar kulit gampang minyak oil control bikin keringpecah pori soft samar gentle mudah terima kulit cocok lu mula note test patch coba kali minggu pakai daily exfo product kalo pakai selang seling ya rasa hydrate pakai produk hydrating layering wajib sunscreen,5,Positive
"Combination, Medium, Warm",Usage Period : Less than 1 weekPurchase Point : Shopee,retinol ajaib banget fisrt impress pakai malam takjub banget malam wajah shinning shimering alias glowing bulan cerah muka enjoy pakai beli,5,Positive
"Combination, Light, Cool",Usage Period : Less than 1 weekPurchase Point : Shopee,serum satu gentle kulit sensitif kandung bagus bangett jerawat cepat kering bekas jerawat pudar banget pori besih pokok oke banget sih produk cuman sayang susah banget cari dengar discontinue launch pakai,5,Positive
"Combination, Medium Light, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Shopee,retinol cocok mula kandung retinol ringan mula cekat cekit perih bantu kulit lembab halus plumpy,5,Positive
"Normal, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,retinol cocok skintific pagi pas bangun wajah kering lembab ngurangin kerut sih kulit cerah pakai bulan pas pakai enak bulir,5,Positive
"Oily, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,pakai retinol kulit kering kelupas coba cari retinol gentle coba skintific gentle retinol pakai minggu kali aman banget kulit kelupas kering kulit sekar serasa halus glowing mulus jerawat bulan garis halus pudar pas pakai rasa panas nambahin pelembab muka,5,Positive
"Combination, Medium Light, Neutral",Usage Period : Less than 1 weekPurchase Point : Shopee,salah revie mesti vit sih retinol ngapusnya bijimane ya hapus bingung akutu salah kamar eui ya kalo review kudu karakter nih gue ketik penuh karakter sekian terima gaji,3,Neutral
"Oily, Medium Light, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Instagram,retinol bulan produk cocok coba retinol retinolnya skintific timbul cekat cekit wajah muka beruntusancocokuntuk serum skintific malam esok hari muka tenang,5,Positive
"Combination, Medium, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Shopee,bucin moisturizernya penasaran sih serum cocok asa beda efek signifikan kalo duoin teksture wangi kental kayak sih moisturizer hasil pakai series kulit asa kenyal lembab minyak beruntus jarang,5,Positive
"Combination, Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,packagingnya oke tutup gampang retak kalo jatuh longgar rekomen pakai rasa efek signifikan pakai rutin tekstur suka mudah serap,2,Negative
"Combination, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,produk skintific kecewa skintific gentle retinol renewal serum cocok banget coba pakai retinol produk bikin kulit kering pokok cocok banget mula,5,Positive
"Normal, Light, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Shopee,product retinol aman buat bikin efek negatif sih kulit gel bulir emas encapsulated kali ya enak banget asih efek plumpy esok hari gentle banget ya cocok mula habis botol beli ml moistnya ml,5,Positive
"Oily, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Tiktokshop,tekstur cair cepat resap kulit sih bikin cekat cekit pakai malemnya pakai jamin tekstur kulit wajah lenyap benerbener langsung halus komedo beruntus habis pakai deh kenal komedo beruntus lupa pagi pakai sunscreen ya ,5,Positive
"Dry, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,kali pakai retinol takut coba nya pilih retinol gentle kayak skintific pakai febuari kemarin minggu ngefek banget muka glowing komedo ku kurang banget jxb banget repurchase skintific retinol ribu itu botol botol,5,Positive
"Dry, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,serum retinol pertama klaim sensitive skin friendly berani coba pakai jujur teman notice kulit glowing samar fine les ya pakai botol hihihi merah parah worth try pokonyaaa,5,Positive
"Dry, Medium, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,retinol pakai turut efek dirasain ya cuman kalo pakai pas malam pagi bangun bangun kulit kenyall lembab efek negatif kulit coba retinol,5,Positive
"Dry, Light, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,basenya air enak banget cepat serap kulit wangi soft banget kulit langsung lembut cerah dipakenya malam kalo besok pagi rasa segerrr kulit lembab efek kulit halus cerahh sih,5,Positive
"Combination, Medium, Warm",Usage Period : 6 months - 1 yearPurchase Point : Tokopedia,beli bundling tube jar isi sih tekstur watery mending tube kayak biar gampang dipakenya enak pakai gampang ngeblend pagi muka mulus deh enak lembab gentle ya gatakut makenya,5,Positive
"Oily, Medium Light, Warm",Usage Period : 1 week - 1 monthPurchase Point : tiktok shop,serum gentle mula sih nyaman bikin kulit pas bangun tidur tuh haluuuuus lembut tekstur gel butir kecil pas rata wajah satu kulit wangi ganggu sih cepat habis pakai malam oh iya pakai malam kandung gentle kalo pakai kali minggu hasil kulit halus lembut kering kalo jerawat gede lumayan ngaruh bikin kempes sayang jerawat orang tipe beruntus ngefek sih pakai overall mula pakai retinol wajib coba pakai retinol kaya nendang sih,4,Positive
"Combination, Medium, Warm",Usage Period : More than 1 yearPurchase Point : Shopee,beli paket ya moisturizer nya review ku moisturizer nya bikin kulit lembab banget halus kenyal ya kulit wajah sehat bersih ngalamin iritasi harga lumayan ya pintar hemat produk nya sih pakai botol ya pelit retinol pakai,5,Positive
",19 - 24",Usage Period : 1 week - 1 monthPurchase Point : Instagram,beli coba kali sayang jodoh paksa biar pakai retinolnya skintific jujurly bikin wajah cerah telah jiriwit gatel huhu sedih banget excited kalah produk belah sayang banget cocok,3,Neutral
"Combination, Light, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,good product cocok banget retinol produk belah sayang discontinued produk reformula cocok sok sad first impressionnya cantik banget serpih gold packaging bad printnya tube luntur produk sok far cocok btw habis set sih moisturizer nya cocok repurchase barang official habis discontinued,4,Positive
"Combination, Light, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,jos gandos edan kulit cerah pakai malam kalo pagi asli segar banget minyak samsek bree pori pori alus terus retinolnya bikin iritasi super gentle cocok pakai malam mending beli woi bikin kulit merah merah cekit cekit ngelotok pol,5,Positive
"Combination, Medium, Warm",Usage Period : 3 months - 6 monthsPurchase Point : Brand website,sadar kulit kerut biasa ngerutin dahi susah dihihangkan coba retinol skintificmoist pakai wig banget brkurang kerut dahi mata,5,Positive
"Oily, Medium, Warm",Usage Period : 3 months - 6 monthsPurchase Point : Official Brand Store,gila ya percaya skincare bagi skin care non dokter non klinik non kelupas manjur muka kulit bandel kulit wajah super gradakan dulunya fine lineskusampori bumpy kayak gttapi kali pakai retinol kurang banget nih pakai bulan full retinolnya pagi pakai niacinamide sunscreen bagus banget kulit banding pori gede pipi kecil bumpy hilang gilapp saking mulus gila,5,Positive
"Oily, Medium, Neutral",Usage Period : Less than 1 weekPurchase Point : Official Brand Store,bagi orang cocokbut doesnt work meaku jearwatan gara gara dia padahal pakai minggu kali urut pakai retinol pakai hydrating toner orang serum bikin kecewantah acne prone gaboleh pakai ngertitp cocok kali tau cocok,1,Negative
"Combination, Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,pakai bulan wajah cerah kalo ngurangi kerut kayak packaging bagus botol kaca pump encapsulated retinol nya kayak butir butir serum butir sulit leleh deh coba rutinin deh cantik butuh proses ,4,Positive
"Combination, Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,kalo kemas botol kaca bening warna gold botol pump ya bulan pakai efek negatif paling muncul jerawat area pakein face oil brand sembuh efek positif kulit muka cerah hilang garis halus kerut sih,4,Positive
"Combination, Medium Light, Neutral",Usage Period : Less than 1 weekPurchase Point : Shopee,gentle retinol renewal serum pakai minggu cocok ya pakai malam cuci muka toner pink skintifc nya telah pakai serum pump cocok cuman hasil ya minggu,5,Positive
"Combination, Medium Dark, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : PR Package,retinol serum gentle powerful banget suka micro beadsnya bikin satisfying pas apply produk repurchase harga mahal idk lamalama sreg produk good product coba kalo cari retinol serum gentle efek oke,4,Positive
"Oily, Medium, Warm",Usage Period : Less than 1 weekPurchase Point : Official Brand Store,beli sociola beli iseng pas pakai brutusan jerawat hilang malam pakai nya stop pakai asa kering pakai kulit ku perih coba pakai moisturizer nya tau efek anti aging lembab ,5,Positive
"Combination, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : sociolla,aman kulit kering adverse reaction tekstur oke gampang serap pakai rada malas malemnya habis pakai pagi pas cuci muka kulit plump enak pegang wrinkle reduction signifikan ya wajar miracle product still good product worth try,4,Positive
"Oily, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Brand website,pakai retinol brand hasil tau ya pakenya coba skintific pakai pakenya pakai bantu banget ngempesin jerawat pakai rangkai skincare skintific bantu hilang bekas jerawat would recommend,5,Positive
"Combination, Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,pakai well proses instan means konsentrat retinol nya rendah safe muka gue efek brutusan jidat perlahan hilang mata rasa light mana usia butuh banget antiaging breakout samsek pola pakai pakai bangun pagi langsung cuci muka pakai sunscreen point kalo pakai retinol apa jadi kulit kering gue beli bundling moisturizer nya i m happy produk gue pakai,5,Positive
"Combination, Medium Light, Warm",Usage Period : 1 week - 1 monthPurchase Point : Gift,kaget produk skintific bagus hype doang  pakai langsung rasai ubah jerawat besok kering jerawat mendem sakit besok sakit muka cerah sehat halus plumpy tekstur cair bening serpih gold cantik banget bulir nya bau ganggu efek negatif pakai kejut hasil main love  packagingnya mewah ,5,Positive
