Skin Type,Usage Periode,Review,Rating,Label,cleaned_review
"Combination, Medium, Warm",Usage Period : More than 1 yearPurchase Point : Lazada,retinol turut pas mula pakai retinol serum mild banget hydrating lengket efek negatif kalo harga murah ratus ribu perfect kecuali kemas botol pipet tekstur gel kental banget ambil pipet heran deh turut bagus kemas botol pump harga beli gara botol level kadar retinolnya,4,Positive,retinol pas retinol serum mild hydrating lengket efek negatif kalo harga murah ratus ribu perfect kecuali kemas botol pipet tekstur gel kental ambil pipet heran bagus kemas botol pump harga beli gara botol level kadar retinolnya
"Combination, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,coba retinol ajar ngenalin kulit pakai retinol please coba ini walaupun persentase retinolnya trgolong keci hasil mantap kulit notice sih pori samar bantu ngurangin bruntusan serum retinol bikin tingling kering lembab wajah pas pakai gampang nyerep lengket tekstur gel bening bau wajah golong sensitif nyaman rekomen banget sih coba,5,Positive,coba retinol ajar ngenalin kulit retinol please coba persentase retinolnya trgolong keci hasil mantap kulit notice sih pori samar bantu ngurangin bruntusan serum retinol tingling kering lembab wajah pas gampang nyerep lengket tekstur gel bening bau wajah golong sensitif nyaman rekomen sih coba
"Oily, Medium Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : Partnership,airinderm aesthetic retinol serum suguh tekstur gel bening kental lengket cepat serap pas banget kena layering serum tutup moisturizer malam lengket ganggu ya rasio retinol kandung serum mana untuk coba main retinol lirik produk kandung peptide sunti dalam fungsi retinol nikmat kulit kasih nutrisi peptidenya kandung sodium hyaluronatenya isi ml hidrasi kulit bikin halus tipikal serum retinol asih efek drying bikin tingling lembap kulit wajah kulit diasupi retinol advance notice efek sok saran cobacoba retinol gentle wajib coba deh ,4,Positive,airinderm aesthetic retinol serum suguh tekstur gel bening kental lengket cepat serap pas kena layering serum tutup moisturizer malam lengket ganggu rasio retinol kandung serum coba main retinol lirik kandung peptide sunti fungsi retinol nikmat kulit kasih nutrisi peptidenya kandung sodium hyaluronatenya isi ml hidrasi kulit halus tipikal serum retinol asih efek drying tingling lembap kulit wajah kulit diasupi retinol advance notice efek sok saran cobacoba retinol gentle wajib coba
"Combination, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : PR Package,retinol tekstur unik senang tekstur gel cepat serap lengket wangi oh ya turut retinolnya airin rekomendasi cobacoba retinol kalo pakai konsisten hasil kalo retinol mild pakai kulit orang beda ya kerja retinolnya kalo kuat ya pakai kenal retinol jerawat tuh atas retinol,5,Positive,retinol tekstur unik senang tekstur gel cepat serap lengket wangi oh retinolnya airin rekomendasi cobacoba retinol kalo konsisten hasil kalo retinol mild kulit orang beda kerja retinolnya kalo kuat kenal retinol jerawat tuh retinol
"Combination, Medium, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Brand website,produk airn coba niacinamide gel nya teksture nya kental cepat serap wajah bau wangi alhamdulillah cocok pakai timbul bikin kulit halus suka nimbul bruntusan lembab pakai moisturizer retinol avoskin pakai,5,Positive,airn coba niacinamide gel nya teksture nya kental cepat serap wajah bau wangi alhamdulillah cocok timbul kulit halus suka nimbul bruntusan lembab moisturizer retinol avoskin
"Dry, Medium, Cool",Usage Period : 1 week - 1 monthPurchase Point : Official Brand Store,pakai reaksi tingling merah merah drama apa feel nya kayak pakai serum serius feel cekat cekit pakai sengaja pakai skincare melembabkan banget step nya tau feel retinol nya reaksi negatif asa kayak pakai serum doangnext pakai minggu pakai sok far kulit aman aman retinol serum bantu ngempesin beruntus recovery bekas jerawat retinol serum lumayan bantu hempas jerawat jidat hp kereset hitung cepat pakai retinol serum bikin kulit keringdrying cepat resap tekstur nya gampang melted kena kulit,5,Positive,reaksi tingling merah merah drama feel nya serum serius feel cekat cekit sengaja melembabkan step nya tau feel retinol nya reaksi negatif asa serum doangnext minggu sok far kulit aman aman retinol serum bantu ngempesin beruntus recovery bekas jerawat retinol serum lumayan bantu hempas jerawat jidat hp kereset hitung cepat retinol serum kulit keringdrying cepat resap tekstur nya gampang melted kena kulit
"Combination, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : PR Package,alas  rekomendasi formulasi tekstur super ringan tekstur gel bening aroma apapaun kental mudah lumer cepat resap aplikasi wajah  persentase retinol nya mild mula takut pakai retinol aktif pakai retinol cari kalem pick one  kering tarik produk produk kandung humektan butylene glycol sodium hyaluronate kandung peptide lembab kulit efek tebak produk hasil instan sesuai baca review pakdhe danang antioksidan exfoliator hasil butuh pakai retinol rutin malam oktober habis hasil maksimal puas kondisi kulit sehat kulit parah fokus basic skincare tambah retinol oya size serum ml jual harga rp mahal murah gantung kocek masingmasing ya turut worth buy sih jatuh lumayan awet pakai nya tetes lumayan,5,Positive,alas rekomendasi formulasi tekstur super ringan tekstur gel bening aroma apapaun kental mudah lumer cepat resap aplikasi wajah persentase retinol nya mild takut retinol aktif retinol cari kalem pick one kering tarik kandung humektan butylene glycol sodium hyaluronate kandung peptide lembab kulit efek tebak hasil instan sesuai baca review pakdhe danang antioksidan exfoliator hasil butuh retinol rutin malam oktober habis hasil maksimal puas kondisi kulit sehat kulit parah fokus basic retinol oya size serum ml jual harga rp mahal murah gantung kocek masingmasing worth buy sih jatuh lumayan awet nya tetes lumayan
"Oily, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,salah rekomendasi produk retinol cocok mula wajah sensitif produkproduk kandung retinol efek iritasi ringan produk kandung retinol kuat syukur cocok produk pakai efek produk cerah wajah,5,Positive,salah rekomendasi retinol cocok wajah sensitif produkproduk kandung retinol efek iritasi ringan kandung retinol kuat syukur cocok efek cerah wajah
"Oily, Medium, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Official Brand Store,jalan retinolku clinique retinol booster campur moisturizer coba skin sake avoskin retinol serum airin bikin baik kulit gue  ginigini  next coba pure retinol somethinc kayak advance treatment,3,Neutral,jalan retinolku clinique retinol booster campur moisturizer coba skin sake avoskin retinol serum airin kulit gue ginigini next coba pure retinol somethinc advance treatment
"Dry, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,produk retinol coba takut coba retinol gampang bikin iritasi dll coba brand konsentrasi retinolnya cocok mula pakai suka banget bikin kulit lembut glowing pakenya minggu kali mula disaranin pakai selang seling bagus banget recommended mula coba retinol kayak,5,Positive,retinol coba takut coba retinol gampang iritasi dll coba brand konsentrasi retinolnya cocok suka kulit lembut glowing pakenya minggu disaranin selang seling bagus recommended coba retinol
"Combination, Medium Light, Warm",Usage Period : 1 week - 1 monthPurchase Point : sociolla,cocok produk tau cocok kandung mula retinol coba ngkutin pakai pakai minggu hasil muncul jerawat pecah tunggu kempes,1,Negative,cocok tau cocok kandung retinol coba ngkutin minggu hasil muncul jerawat pecah tunggu kempes
"Dry, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,recommended pakai retinol gentle banget gakada iritasi efek melembabkan cerah hilang noda baik tekstur kalo pakai retinol tante pakai retinol serum hasil,4,Positive,recommended retinol gentle gakada iritasi efek melembabkan cerah hilang noda tekstur kalo retinol tante retinol serum hasil
"Oily, Medium Light, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,bagus bagus sih kulit ubah signifikan kayak cerah pamakaian kulit acne ya ubah apa kulit,3,Neutral,bagus bagus sih kulit ubah signifikan cerah pamakaian kulit acne ubah kulit
"Combination, Medium Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : Shopee,pakai kali sih ubah muka rasai halus muka ku habis pakai tekstur cair gampang nyerep bau nya nyaman pakai pakai minggu kali,5,Positive,sih ubah muka rasai halus muka habis tekstur cair gampang nyerep bau nya nyaman minggu
"Combination, Medium, Neutral",Usage Period : 1 week - 1 monthPurchase Point : FD Try and Review,tekstur kental cepat resap dalam kulit bagus encang jaga kulit awet muda pakai kulit kencang mulus pakai sesuai dosis jadwal kandung aktif,5,Positive,tekstur kental cepat resap kulit bagus encang jaga kulit awet muda kulit kencang mulus sesuai dosis jadwal kandung aktif
"Dry, Medium Dark, Warm",Usage Period : 1 week - 1 monthPurchase Point : Sample,best retinol ever pakai retinol kulit super kering pakai banget ubah kulit halus kenyal beruntus kurang kulit super kering pakai nya minggu lupa dibarengin moisturizer ya gurls,5,Positive,best retinol ever retinol kulit super kering ubah kulit halus kenyal beruntus kulit super kering nya minggu lupa dibarengin moisturizer gurls
"Oily, Light, Warm",Usage Period : 1 week - 1 monthPurchase Point : FD Try and Review,nya thank lu fd try n review deh kasih sempat sekian kali pilih cinta retinol produk skintific deh raguin moisturizer nya pakai retinol skintific saat jerawat kita rahang pakai mula saran ya bikin jerawat rahang cepat kering bikin amaze nih bikin kering sekaliiiiiii wajah lembab ganggu makeup pagi nya kering,5,Positive,nya thank lu fd try n review kasih sekian pilih cinta retinol skintific raguin moisturizer nya retinol skintific jerawat rahang saran jerawat rahang cepat kering amaze nih kering sekaliiiiiii wajah lembab ganggu makeup pagi nya kering
"Dry, Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : FD Try and Review,takut takut kalo coba retinol kepo banget retinol baru skintific pas coba signifikan banget kulit kulit lumayan asa cerah moga konsisten ngatasin kulit lain ya,5,Positive,takut takut kalo coba retinol kepo retinol skintific pas coba signifikan kulit kulit lumayan asa cerah moga konsisten ngatasin kulit
"Dry, Medium Dark, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,maju mundur coba retinol takut purgingiritasi ya deh cari mild cocok mula berani checkout toko oren eh coba ya ampun bagus banget hasil kulit  jerawat gede bagong kempes diolesin retinol malam minggu angsur kempes sembuh total bekas item banget catat combine moisturizer mampu melembabkannya bagus kalo kulit ngelupas hihi sayang bahan aktif pakai bumil ya hibah sodara rencana hamil ,5,Positive,maju mundur coba retinol takut purgingiritasi cari mild cocok berani checkout toko oren eh coba ampun bagus hasil kulit jerawat gede bagong kempes diolesin retinol malam minggu angsur kempes sembuh total bekas item catat combine moisturizer melembabkannya bagus kalo kulit ngelupas hihi sayang bahan aktif bumil hibah sodara rencana hamil
"Dry, Medium, Cool",Usage Period : 6 months - 1 yearPurchase Point : Shopee,kira ngelembabin blnan bekas jerawat hilang gasengaja pencet pakai pagi merah banget muka efek gabikin jerawat stop ngefek coba retinol banding merk si ngefek,5,Positive,ngelembabin blnan bekas jerawat hilang gasengaja pencet pagi merah muka efek gabikin jerawat stop ngefek coba retinol banding merk si ngefek
"Combination, Medium Dark, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Guardian,bagus bangetcocok banget mula bikin iritasi cepat banget hilang jerawat bekas mencerahkanteksturnya ringan cepat resap efek pemakaianpokoknya repurchase,5,Positive,bagus bangetcocok iritasi cepat hilang jerawat bekas mencerahkanteksturnya ringan cepat resap efek pemakaianpokoknya repurchase
"Dry, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,beli serum paket moisturizernya amanaman pakai bareng serum moisturizer retinol skintific tekstur watery gel runny banget kandung bagus banget retinol serum kandung peptide ceramide bagus lembap kurang garis halus jaga skin barrier love,4,Positive,beli serum paket moisturizernya amanaman bareng serum moisturizer retinol skintific tekstur watery gel runny kandung bagus retinol serum kandung peptide ceramide bagus lembap garis halus jaga skin barrier love
"Oily, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,pengin coba serum retinol tau brand cocok muka pakai skintific oke timbul jerawat kynya muka kenyal bersih bekas jerawar moga cepat pudar,5,Positive,pengin coba serum retinol tau brand cocok muka skintific oke timbul jerawat kynya muka kenyal bersih bekas jerawar moga cepat pudar
"Dry, Light, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,mantul banget rasa banget wajah muka halus hilang kerut halus repurchase sih hatrganya masuk kantong gentle bikin kulit keringmalahan rasa lembabnya worth buy deh,5,Positive,mantul wajah muka halus hilang kerut halus repurchase sih hatrganya masuk kantong gentle kulit keringmalahan lembabnya worth buy
"Dry, Medium Light, Warm",Usage Period : More than 1 yearPurchase Point : Shopee,salah retinol gentle banget lightweight fastabsorbing serum watery texture wonders blemishes acne bit challenging blend due unique texture gamechanger reducing breakouts blemishes leaving skin plump please note gentle rutin pakai retinol ya,4,Positive,salah retinol gentle lightweight fastabsorbing serum watery texture wonders blemishes acne bit challenging blend due unique texture gamechanger reducing breakouts blemishes leaving skin plump please note gentle rutin retinol
"Oily, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : PR Package,suka banget serum gentle encapsulated aman pakai even beginner tekturnya nyaman cepat resap bulirbulirnya pudar bikin firming jerawat kayak keren banget produk,5,Positive,suka serum gentle encapsulated aman even beginner tekturnya nyaman cepat resap bulirbulirnya pudar firming jerawat keren
"Oily, Light, Cool",Usage Period : 3 months - 6 monthsPurchase Point : Brand Website,suka pakai banget retinol baik mantap banget bikin wajah glowing halus kecil pori pakai selang seling serum exfo niacinamaide hasil bagus banget cocok liat jerawat minyak,5,Positive,suka retinol mantap wajah glowing halus pori selang seling serum exfo niacinamaide hasil bagus cocok liat jerawat minyak
"Normal, Medium, Warm",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,texturenya enak bulir halus dalam serum easy apply paham percentage retinol dalam pakai ku aman banget efek kering pakai percentage retinolnya sok far aman nyaman kulit mula,4,Positive,texturenya enak bulir halus serum easy apply paham percentage retinol aman efek kering percentage retinolnya sok far aman nyaman kulit
"Combination, Medium Light, Neutral",Usage Period : More than 1 yearPurchase Point : Shopee,coba pakai retinol coba deh pakai gentle encapsulated keras kulit kali pakai retinol pakai minggu kali pakai sunscreen besok sok far aman banget mulus kulitkuu,5,Positive,coba retinol coba gentle encapsulated keras kulit retinol minggu sunscreen besok sok far aman mulus kulitkuu
"Dry, Light, Cool",Usage Period : More than 1 yearPurchase Point : Shopee,retinol bagus banget mula encapsulated harsh kulit serum dikombinasiin moisturizernya deh perfect combo ngelembapin kuliiit banget muncul jerawat kalo pakein serum tuh langsung hilang paginyaa gajadi muncul huhu love banget pakai banget hasil darkspot pudar smiling line pudar,5,Positive,retinol bagus encapsulated harsh kulit serum dikombinasiin moisturizernya perfect combo ngelembapin kuliiit muncul jerawat kalo pakein serum tuh langsung hilang paginyaa gajadi muncul huhu love hasil darkspot pudar smiling line pudar
"Oily, Light, Cool",Usage Period : More than 1 yearPurchase Point : Shopee,turut retinol nyaman mula pakai kali minggu suka pakai malam pagi kulit rasa kenyal plumpy skintific sensasi panas bikin ngelupas kesan harsh kulit catat wajib apply sunscreen besok pagi ya lengkap hasil sih turut,5,Positive,retinol nyaman minggu suka malam pagi kulit kenyal plumpy skintific sensasi panas ngelupas kesan harsh kulit catat wajib apply sunscreen besok pagi lengkap hasil sih
"Oily, Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,pakai bareng truffle biome skintific cepat serap hidrasi kulit sok far kulit pakai malam besok pagi asa lembab kenyal asa sehat banget kulit,5,Positive,bareng truffle biome skintific cepat serap hidrasi kulit sok far kulit malam besok pagi asa lembab kenyal asa sehat kulit
"Combination, Medium Light, Warm",Usage Period : More than 1 yearPurchase Point : Tokopedia,coba smile line panik pasti iklan skintific retinol sliweran feed mikir cowok beli minus pakai tau pakai produk bruntusan  cocok kagak ngarti ku abisin sayang  tekstur kental wangi ringan banget,3,Neutral,coba smile line panik iklan skintific retinol sliweran feed mikir cowok beli minus tau bruntusan cocok kagak ngarti abisin sayang tekstur kental wangi ringan
"Combination, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,produk lucu konsistensi gel bening encapsulated retinol beadsnya pecah usap kulit hitung retinol serum moisturizer retinol skintific bagus timbul purging efek negatif panas gatel kulit merah pakai malam efek bagus bantu mulus kulit wajah leher downsidenya habis pakai glitter emas kilap kulit,4,Positive,lucu konsistensi gel bening encapsulated retinol beadsnya pecah usap kulit hitung retinol serum moisturizer retinol skintific bagus timbul purging efek negatif panas gatel kulit merah malam efek bagus bantu mulus kulit wajah leher downsidenya habis glitter emas kilap kulit
"Combination, Medium Light, Neutral",Usage Period : More than 1 yearPurchase Point : Sociolla,serum retinol coba ya harga affordable banget makek nya pas malam tidur pagi bikin kulit kenyal layer moiisturiser hasil maksimal sok far satisfied result nya,5,Positive,serum retinol coba harga affordable makek nya pas malam tidur pagi kulit kenyal layer moiisturiser hasil maksimal sok far satisfied result nya
"Normal, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,produk bilang ngaruh kulit bagus jelek inti tarik beli kemas bagus buat botol kaca transparan mewah reviewnya bagus kulit mending pakai retinol olay mi kulit serum skintific cocok mula pakai retinol,3,Neutral,bilang ngaruh kulit bagus jelek inti tarik beli kemas bagus botol kaca transparan mewah reviewnya bagus kulit mending retinol olay mi kulit serum skintific cocok retinol
"Oily, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,beli review tiktok bilang retinol bagus banget pas pakai cocok bikin jerawat tipe kulit oily acne pakai efek kayak tarik cuman ya cocok lanjut pemakainnya,2,Negative,beli review tiktok bilang retinol bagus pas cocok jerawat tipe kulit oily acne efek tarik cuman cocok pemakainnya
"Dry, Medium, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Blibli.com,tarik iklan seliwer socmeddan pengin coba pakai krim koreatapi krim cocok muka akumuka kering banget beruntus,2,Negative,tarik iklan seliwer socmeddan pengin coba krim koreatapi krim cocok muka akumuka kering beruntus
"Normal, Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : Shopee,bagus pol suka pakai bunda cocok coba pakai malam dannn taraaa bangun bangun muka langsung glowing mulus banget produk cepat resap bau sih turut comfy product manja muka xixiixi,5,Positive,bagus pol suka bunda cocok coba malam dannn taraaa bangun bangun muka langsung glowing mulus cepat resap bau sih comfy product manja muka xixiixi
"Dry, Medium, Warm",Usage Period : 6 months - 1 yearPurchase Point : Shopee,tahun maybe habis tinggal dikit alas ya ngaruh pakai efek buruk kayak sayang buang duit doang maaf ya pakai ngabisin doang biar sayang,3,Neutral,maybe habis tinggal dikit alas ngaruh efek buruk sayang buang duit doang maaf ngabisin doang biar sayang
"Combination, Medium Dark, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : XBeauty by Female Daily,serum skintific bikin kulit flawless tekstur lembut bikin kering hasil noticeable retinolnya bikin iritasi cocok mula retinol kulit kenyal poripori susut packagingnya oke harga reasonable recommended banget  skintific retinolserumreview,4,Positive,serum skintific kulit flawless tekstur lembut kering hasil noticeable retinolnya iritasi cocok retinol kulit kenyal poripori susut packagingnya oke harga reasonable recommended skintific retinolserumreview
"Combination, Medium Light, Cool",Usage Period : 3 months - 6 monthsPurchase Point : Sociolla,suka banget pakai serum temu product skintific gentle retinol renewal serum kemas pump gampang bawa kemanamana tumpah efek lembap rawat kulit tanda tuan,5,Positive,suka serum temu product skintific gentle retinol renewal serum kemas pump gampang bawa kemanamana tumpah efek lembap rawat kulit tanda tuan
"Combination, Dark, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,kulit kering produk cocok banget kulit kering kusam pori pori nonjol mata hidung kalo pakai tonjol kurang muka cerah tekstur kurang btw pakai moisturizernya nampol ceramide muka mulus pokok pakai kali minggu ya pakai tekstur muka,5,Positive,kulit kering cocok kulit kering kusam pori pori nonjol mata hidung kalo tonjol muka cerah tekstur btw moisturizernya nampol ceramide muka mulus minggu tekstur muka
"Oily, Medium Light, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,eh bentar iya tulis reference pribadi ya bagus kalo cocok teman teman asa pelembab doang maahhhhh ya lembab ya plumpy ngubah bikin tekstur muka baik biasssa ajaaah bad,3,Neutral,eh bentar iya tulis reference pribadi bagus kalo cocok teman teman asa pelembab doang maahhhhh lembab plumpy ngubah tekstur muka biasssa ajaaah bad
"Combination, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,sok far bagus banget sih serum anti agingnya encapsulated retinol dalam pas pakai lengket bau sengat langsung serap kulit bikin kulit kenyal kepala cari serum anti aging hilang kerut garis garis halus wajah sih bintang,5,Positive,sok far bagus sih serum anti agingnya encapsulated retinol pas lengket bau sengat langsung serap kulit kulit kenyal kepala cari serum anti aging hilang kerut garis garis halus wajah sih bintang
"Normal, Light, Cool",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,beli paket moistnya diskon pakai sih sisa overall serum bagus tekstur watery gel cepat serap feels cekatcekit aroma tipis ganggu habis pakai wajah lembab kayak moistnya kurang packaging beda bentuk packagingnya pakai pump cocok tekstur serum cair plastik pumpnya mudah kelupas foto kelupas kadang hatihati suka tempel tangan serum pas pump lebih,4,Positive,beli paket moistnya diskon sih sisa overall serum bagus tekstur watery gel cepat serap feels cekatcekit aroma tipis ganggu habis wajah lembab moistnya packaging beda bentuk packagingnya pump cocok tekstur serum cair plastik pumpnya mudah kelupas foto kelupas kadang hatihati suka tempel tangan serum pas pump
"Dry, Medium Dark, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Tiktok,serum pakai bareng moisnya efek sih serum booster nampol asa kayak lembab moisnya efek pakai retinol langsung efek glowingnya sih aku,1,Negative,serum bareng moisnya efek sih serum booster nampol asa lembab moisnya efek retinol langsung efek glowingnya sih
"Dry, Light, Warm",Usage Period : 1 week - 1 monthPurchase Point : Shopee,kalo bilang ramah retinol bulshit pakai besok jidat luka kayak kulit kelupas merah perih sih kaget ngapa kapai ngeri retinol semalem habis pakai banyak pakenya wkwk jangka pakai minggu tonerku aman aneh aneh banyak wkwk kapok deh entar kalo pakai dikit butir diratain muka efek psikis takut kalo pakai efek anti aging nanem takut alam seram,1,Negative,kalo bilang ramah retinol bulshit besok jidat luka kulit kelupas merah perih sih kaget ngapa kapai ngeri retinol semalem habis pakenya wkwk jangka minggu tonerku aman aneh aneh wkwk kapok entar kalo dikit butir diratain muka efek psikis takut kalo efek anti aging nanem takut alam seram
