Skin Type,Usage Periode,Review,Rating
"Combination, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"yang baru mau coba retinol atau belajar ngenalin kulit pake retinol please cobain ini,walaupun persentase retinolnya trgolong keci tapi hasilnya mantep di kulit, yang ak notice sih pori"" jadi agak tersamarkan dan bantu juga buat ngurangin bruntusan, serum retinol ini gak bikin tingling atau kering malah rasanya lebih lembab gitu di wajah, pas di pake gampang nyerep dan gak lengket, teksturnya gel bening dan gak ad bau sama sekali, buat wajah ak yang tergolong sensitif ini nyaman dan rekomen banget sih buat di cobain",5
"Oily, Medium Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : Partnership,"Airinderm Aesthetic Retinol Serum dengan suguhan tekstur gel bening yang cukup kental & agak sedikit lengket tapi cepat menyerapnya kok, jadi pas banget dikenakan di akhir layering serum dan kemudian ditutup dengan moisturizer pada malam hari. Tapi sama sekali bukan lengket yang begitu mengganggu yah. Rasio dari Retinol yang terkandung dalam Serum ini hanya 0.015% dimana dapat diperuntukan untuk yang mau cobain main dengan Retinol mungkin bisa lirik produk satu ini. Ada juga kandungan Peptide yang sudah disuntikan kedalamnya, jadi selain dari fungsi Retinol itu sendiri bisa kita nikmati, kulit akan dikasih nutrisi dari Peptidenya serta ada kandungan Sodium Hyaluronatenya juga. Dengan isi 20ml cukup menghidrasi juga dikulit dan bikin halus juga. Karena ini tipikal serum Retinol yang bukan ngasih efek drying ataupun bikin tingling, malah terasa lembap gitu di kulit wajah. Mungkin karena kulitku sudah diasupi retinol yang lebih advance jadi gak begitu notice efeknya. So sekali lagi aku bisa saranin bagi kalian yang ingin coba-coba retinol gentle wajib cobain deh ðð»",4
"Combination, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : PR Package,"Retinol dengan tekstur yang unik dan menyenangkan, teksturnya gel, cepet menyerap, gak lengket dan gak ada wanginya juga. Oh ya menurutku retinolnya airin ini bisa jadi rekomendasi buat yang mau coba-coba retinol, kalo dipakai secara konsisten hasilnya keliatan emang. Kalo di aku, retinol ini termasuk yang mild dan bisa aku pakai setiap hari. Tapi ini di kulit tiap orang akan berbeda ya kinerja retinolnya, kalo ga kuat ya jangan pakai tiap hari. Nah sejak kenal sama retinol, tiap ada jerawat tuh cara mengatasinya aku cukup dengan retinol aja gitu",5
"Combination, Medium, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Brand website,"Produk airn kedua yang aku coba selain niacinamide gel nya, teksture nya kental tapi cepat menyerap diwajah. Ga ada bau2 atau wanginya sama sekali, alhamdulillah cocok pakai ini ga menimbulkan apa2. Bikin kulit lebih halus juga cuma masih suka nimbul bruntusan entah karena kurang lembab atau gmn, yang jelas masih pakai moisturizer yang sama dengan retinol avoskin saat pemakaian.",5
"Dry, Medium, Cool",Usage Period : 1 week - 1 monthPurchase Point : Official Brand Store,"pemakaian pertama. Sama sekali gaada reaksi tingling, merah merah, atau drama apapun itu. Feel nya sama aja kaya pake serum biasa. Serius! Sama sekali gaada feel cekat cekit. Dipemakaian pertama aku sengaja ga terlalu pakai skincare yang Melembabkan banget distep sebelum nya karena mau tau feel retinol nya gimana, ternyata gaada reaksi negatif sama sekali. Biasa aja, berasa kaya pake serum doang.Next pemakaian dan selama Â±3minggu aku pakai, so far kulitku juga masih aman aman aja. Retinol serum ini cukup membantu untuk ngempesin beruntusanð± dan recovery bekas jerawat. Retinol serum ini juga lumayan ngebantu menghempaskan jerawat kecil kecil dijidat aku (no before after, hp aku ke-reset) dalam waktu yang terhitung cepet. Pemakaian retinol serum ini sama sekali gak bikin kulit jadi kering/drying, cepet meresap, tekstur nya gampang melted kalau kena kulit",5
"Combination, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : PR Package,"Alasan ð¥ðð§ð©ðð¢ð kenapa aku bisa rekomendasi ini ; formulasi teksturnya yang super ringan. Teksturnya gel bening, nggak ada aroma apapaun, cukup kental namun mudah lumer dan cepat meresap setelah diaplikasikan ke wajah ððððªð; persentase retinol nya sebesar 0.015%. Cukup mild bukan? Terutama untuk pemula yang masih takut pakai retinol atau bahkan yang sudah cukup aktif pakai retinol namun mau mencari yang kalem aja, you can pick this one! ððð©ððð; tidak ada rasa kering & ketarik setelah menggunakan produk ini. Karena di dalam produk ini, juga ada 2 kandungan humektan (butylene glycol & sodium hyaluronate) serta kandungan peptide. Jadi, tetap bisa memberikan rasa lembab yang cukup baik ke kulit Nah, untuk efeknya sendiri, bisa ditebak bahwa ini bukan produk yang memberikan hasil secara instan. Sesuai dengan apa yang juga aku baca di review Pakdhe Danang, karena dia bekerja sendiri tanpa antioksidan & exfoliator, maka hasilnya pun membutuhkan waktu yang lebih agak lama Aku sendiri sudah pakai retinol ini rutin hampir setiap malam sejak bulan Oktober - sekarang (sudah habis). Hasilnya memang belom terlihat secara maksimal tapi aku tetap puas karena kondisi kulit jauh lebih sehat krn 2 bulan sebelumnya kulitku sempet 'agak parah', jadi aku fokus balik ke basic skincare & ditambah retinol ini Oya, size serum ini sekitar 20 mL dan dijual dengan harga Rp 125.000. Mahal murahnya tergantung kocek masing-masing ya, tapi menurutku ini worth to buy sih. Karena jatuhnya lumayan awet kalau dipakai nya nggak setiap hari / kalau mau setiap hari tapi hanya 2 tetes pun lumayan cukup kok!",5
"Oily, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,"Ini salah satu rekomendasi produk retinol yang cocok buat pemula. Wajahku termasuk yang sensitif terhadap produk-produk yang mengandung retinol (ada efek iritasi ringan terhadap produk dengan kandungan retinol kuat). Syukurlah cocok dengan produk ini. Setelah pemakaian pertama, efek yang terlihat adalah produk ini mampu mencerahkan wajah.",5
"Oily, Medium, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Official Brand Store,"Perjalanan retinolku udah dari Clinique retinol booster yang dicampur ke moisturizer, terus nyobain juga For Skin Sake, terus Avoskin. Terakhir ini, retinol serum dari Airin. Semuanya engga bikin perbaikan di kulit gue ððð gini-gini aja ternyata ððð next, mau coba yang pure retinol baru dari Somethinc kayaknya karena itu untuk advance treatment.",3
"Dry, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Produk retinol pertama yg aku coba. Sempet takut coba retinol karena katanya gampang bikin iritasi dll cuma akhirnya coba brand ini karena konsentrasi retinolnya cukup kecil jadi cocok buat pemula. Setelah dipake sekitar 2 bulan, suka bgt rasanya bikin kulit jadi lebih lembut dan glowing. Aku pakenya tapi seminggu 2 kali aja karena emg pemula disaranin pake selang seling dan emg bagus bgt. Recommended buat pemula yg mau coba retinol kaya aku!!",5
"Combination, Medium Light, Warm",Usage Period : 1 week - 1 monthPurchase Point : sociolla,ga cocok sama produk ini belum tau ga cocok karena kandungan yang mana. aku pemula buat retinol dan udah coba ngkutin cara pemakaian dari jumlah yang sedikit dan dipakai cuma sekali seminggu. hasilnya tetap muncul seperti jerawat besar yang ga bisa dipecahkan jadi harus nunggu kempes sendiri,1
"Dry, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"recommended buat yang baru mulai pake retinol, karena emang gentle banget, gakada iritasi sama sekali. efek melembabkan dapet, cerah juga dapet, tapi menghilangkan noda dan memperbaiki tekstur masih kurang kalo di aku, karena aku udah biasa pake retinol. tapi di tanteku yang baru mulai pake retinol, serum ini hasilnya cukup terlihat.",4
"Oily, Medium Light, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Bagus bagus aja sih, tp memang kalau dikulitku gaada perubahan yang signifikan kaya mencerahkan dan lain lain, tapi memang selama pamakaian juga ga buat kulitku jd tambah acne ataupun itu, cuma yaa memang gak ada perubahan apapun dikulitku",3
"Combination, Medium Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : Shopee,"Aku baru pake beberapa kali si tapi sudah ada perubahan di muka aku, aku ngerasain lebih halus aja muka ku kalau abis pake ini. Teksturnya cair dan gampang nyerep, ud gitu ga ada bau nya sama sekali jadi nyaman aja pake ini. Aku pake ini seminggu 2x",5
"Combination, Medium, Neutral",Usage Period : 1 week - 1 monthPurchase Point : FD Try and Review,"Teksturnya kental tapi cepat meresap kedalam kulit, bagus sekali, mengencangkan dan menjaga kulit tetap awet muda, pemakaian 1 bulan terasa kulit lebih kencang dan mulus, pemakaian harus sesuai dosis dan jadwal karena ada kandungan aktifnya",5
"Dry, Medium Dark, Warm",Usage Period : 1 week - 1 monthPurchase Point : Sample,"Best retinol ever! Aku gapernah bisa pake retinol karena kulit aku yg super kering. Tapi pake ini baru 1 bulan aja udah keliatan bgt perubahannya, kulit aku lebih halus dan kenyal, beruntusan juga berkurang. Untuk kulit aku yg super kering ini, aku pake nya cukup 2-3 hari aja seminggu. Dan jangan lupa dibarengin moisturizer ya gurls.",5
"Oily, Light, Warm",Usage Period : 1 week - 1 monthPurchase Point : FD Try and Review,"Sebelum nya thank u FD Try n Review dah kasih kesempatan kesekian kalinya terpilih.. aku pecinta retinol.. produk skintific dah gk d raguin lagi krna sampe skr aku masih pak moisturizer nya jg .. aku pake retinol skintific disaat banyak jerawat kecil d sekita rahang .. aku pake setiap hari (untuk pemula gk disarankan tiap hari yah).. dan bikin jerawat sekitar rahang aku cepet kering.. yg bikin amaze nih sama sekali gak bikin kering .. sama sekaliiiiiii ,, wajah tetep lembab dan gak ganggu makeup di pagi hari nya krna kering ..",5
"Dry, Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : FD Try and Review,"Selalu takut takut kl mau coba retinol baru, tapi kepo banget sama retinol barunya skintific. Pas di coba awal ga terlalu yang signifikan banget ke kulit, tp lama- lama kulit lumayan berasa lebih cerahan, semoga bisa konsisten dan ngatasin masalah kulit lainku ya",5
"Dry, Medium Dark, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"awalnya maju mundur mau coba retinol, takut purging/iritasi, ya gitu2 deh. Akhirnya nyari2 yg mild dan cocok utk pemula. Memberanikan diri checkout di toko oren, eh ternyata setelah dicoba sendiri, ya ampun BAGUS BANGET hasilnya di kulitku ð­ jerawatku segede bagong gak kempes2, diolesin retinol setiap malam selama kurang dari seminggu berangsur2 kempes dan skrg sudah sembuh total, bekasnya juga ga item banget dgn catatan di combine dgn moisturizer yg kemampuan melembabkannya bagus, kalo engga tu kulit bakal ngelupas2, hihi. Sayangnya bahan aktif ini ga bisa dipakai utk bumil ya, jadi utk sementara aku hibahkan dulu ke sodara soalnya aku berencana utk hamil âºï¸",5
"Dry, Medium, Cool",Usage Period : 6 months - 1 yearPurchase Point : Shopee,"Awal kukira cm yg penting ngelembabin, tp stlh 2 blnan bekas jerawatku hilang (gasengaja kepencet). Tapi gabisa dipakai pagi krn pasti merah bgt mukanya. Efeknya lama, tp gabikin jerawat sama sekali di aku. Sempet stop, ga ngefek apa"" jg. Aku blm pernah cb retinol lain, tp dibanding merk S yg lain, lbh ngefek ini di aku",5
"Combination, Medium Dark, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Guardian,"BAGUS BANGET!!Cocok banget buat pemula, dia gak bikin iritasi, cepet banget hilangin jerawat dan bekasnya, mencerahkan.Teksturnya ringan, cepet meresap. Di aku baru keliatan efeknya setelah 80% pemakaian.Pokoknya akan repurchase lagi!!",5
"Dry, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,"Beli serum ini karena sepaket sama moisturizer-nya. Aman-aman dipakai berbarengan antara serum dan moisturizer retinol Skintific ini. Teksturnya watery gel yang runny banget. Kandungannya bagus banget. Selain retinol, serum ini mengandung peptide dan ceramide jadi bagus untuk melembapkan, mengurangi garis halus dan menjaga skin barrier. Love it.",4
"Oily, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,Emang lagi pgn nyobain serum retinol supaya tau brand mana yg lbh cocok di muka.. sejauh ini pake skintific oke ga timbul jerawat atau apa malah kynya muka lebih kenyal dan lebih bersih.. untuk bekas jerawar semoga cepat memudar,5
"Dry, Light, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,Mantul banget kerasa banget diwajah muka jadi lebih halus. Mulai hilang kerutan halusnya. Bakal repurchase sih udah gitu hatrganya masih masuk dikantong. Gentle juga ga bikin kulit keringmalahan kerasa lembabnya. Worth to buy deh buat kalian,5
"Dry, Medium Light, Warm",Usage Period : More than 1 yearPurchase Point : Shopee,"Salah satu retinol yang gentle banget. A lightweight, fast-absorbing serum with a watery texture that does wonders for blemishes and acne. While it may be a bit challenging to blend due to its unique texture, it's a game-changer in reducing breakouts, blemishes and leaving your skin plump. Please note Ini bakalan terlalu gentle buat kamu yang udh rutin pakai retinol tapi ya..",4
"Oily, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : PR Package,"suka banget sama serum ini, very gentle karena encapsulated jadi aman dipake even for beginner. tekturnya nyaman dan cepat meresap ada bulir-bulirnya juga, di aku selain memudarkan dan bikin firming juga bisa buat jerawat, kek keren banget produknya!",5
"Oily, Light, Cool",Usage Period : 3 months - 6 monthsPurchase Point : Brand Website,"sukak pakai banget sama retinol yang satu ini terbaik dan mantap banget bikin wajah aku glowing, halus dan mengecilkan pori. Dipake selang seling sama serum exfo dan niacinamaide hasilnya bagus banget. Cocok buat kuliat berjerawat dan berminyak.",5
"Normal, Medium, Warm",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"Texturenya enak ada bulir halus didalam serumnya dan easy to apply, tapi aku kurang paham sama percentage retinol didalamnya jadi selama aku pakai ku aman banget gak ada efek apa apa atau kering, mungkin krna aku sebelumnya sudah pakai yg percentage retinolnya lebih tinggi, tapi so far ini aman dan nyaman di kulit utk pemula.",4
"Combination, Medium Light, Neutral",Usage Period : More than 1 yearPurchase Point : Shopee,"yang mau nyoba pake retinol, coba deh pake ini dulu, soalnya ini gentle krn dia encapsulated, jadi dia ga terlalu keras buat kulit kita apalagi yang baru pertama kali pake retinol. aku pake seminggu 2-3x, dan selalu pake sunscreen besoknya, so far aman banget malah makin mulus kulitkuu",5
"Dry, Light, Cool",Usage Period : More than 1 yearPurchase Point : Shopee,"Retinol pertama aku!! Ini bagus bgt buat pemula karena dia encapsulated jadi ga harsh di kulit. Serumnya dikombinasiin sama moisturizernya udah deh perfect comboð¤© ngelembapin kuliiit bgt, udah gt tiap mau muncul jerawat kalo aku pakein serum ini tuh dia jadi langsung ilang paginyaa gajadi muncul huhu love bgt! Di aku pemakaian sekitar 3bln udah keliatan bgt hasilnya, darkspot memudar, smiling line juga ikut memudar",5
"Oily, Light, Cool",Usage Period : More than 1 yearPurchase Point : Shopee,"Menurutku ini retinol yang nyaman buat pemula. Pemakaian 3x seminggu, dan yang paling aku suka, setelah pakai di malam hari, paginya kulitku kerasa kenyal, plumpy. Skintific ini juga nggak ada sensasi panas, nggak bikin ngelupas juga. Jadi nggak ada kesan harsh di kulit. Dengan catatan, wajib apply sunscreen besok paginya ya. Karena 2 hal ini saling melengkapi hasilnya sih menurutku.",5
"Oily, Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,"aku pake ini bareng dengan truffle biome dari skintific,, cepat menyerap dan menghidrasi kulit dengan baik. so far gak ada masalah di kulitku. aku pake ini malem, jadi besok paginya berasa lembab & kenyal. berasa sehat banget aja kulitnya.",5
"Combination, Medium Light, Warm",Usage Period : More than 1 yearPurchase Point : Tokopedia,"Awal nyoba ini krn ngeliat sedikit smile line, panik pastinya. Trs ngeliat iklan skintific retinol sliweran di feed, cukup lama mikir sblm CO akhirnya beli juga. Minus selama pemakaian, ga tau kenapa setiap make produk ini kok keluar bruntusan ð­ ntah krn ga cocok ape gmn kan kaga ngarti tp tetep ku abisin, sayang ð¤­ teksturnya kental dan agak ada wanginya wlwpun ringan bgt.",3
"Combination, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Produknya lucu karena konsistensi gel bening dan ada encapsulated retinol beadsnya yg akan pecah kalau diusap ke kulit. Untuk hitungan retinol, serum dan moisturizer Retinol Skintific ini termasuk bagus buat aku karena tidak menimbulkan purging atau efek negatif lain seperti panas / gatel / kulit merah walau dipakai setiap malem. Untuk efeknya juga bagus karena membantu memuluskan kulit wajah dan leher. Downsidenya hanya setiap sehabis pemakaian ada seperti glitter keemasan sedikit berkilapan di kulit :(",4
"Combination, Medium Light, Neutral",Usage Period : More than 1 yearPurchase Point : Sociolla,Serum retinol pertama yang aku coba ya ini. Harganya affordable banget. Aku makek nya pas malam sebelum tidur dan ketika paginya bikin kulit terasa kenyal. Aku layer dengan moiisturiser untuk hasil maksimal. So far satisfied dengan result nya,5
"Normal, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Satu kata untuk produk ini yaitu biasa. Saya bilang biasa karena tidak ngaruh apa2 dikulit. Nggak tambah bagus nggak tambah jelek juga, intinya biasa aja. Saya tertarik beli karena kemasannya yang bagus terbuat dari botol kaca transparan terlihat mewah. Review-nya juga bagus. Tapi di kulit saya biasa aja. Mending pake retinol Olay atau some by mi yang lebih bekerja di kulit saya. Mungkin serum skintific ini cocok untuk pemula pemakai retinol",3
"Oily, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,awalnya ak beli karna review tiktok itu pada blg ini retinol bagus banget.. Tapi pas ak pake itu ga cocok bikin jerawatan (tipe kulitku oily and acne). Tapi emg stlh pake itu ada efek kek ketariknya cmn ya ga cocok jadi ga dilanjut pemakainnyaððð¼.,2
"Dry, Medium, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Blibli.com,tertarik karena iklannya yang banyak berseliweran di socmed..dan pengen coba aja karena aku biasa pake krim korea..tapi krimnya ternyata ga cocok di muka aku..muka aku jadi kering banget dan beruntusan..,2
"Normal, Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : Shopee,"BAGUS POL, aku lagi suka pake ini awalnya karena bunda ngga cocok terus aku coba pke tiap malem dannn taraaa bangun bangun muka langsung glowing mulus banget, dia juga produk yang cepet meresap dan ngga bau sih jadi menurutku its a comfy product karena bisa manjain muka aku xixiixi",5
"Dry, Medium, Warm",Usage Period : 6 months - 1 yearPurchase Point : Shopee,"Ini udah hampir setahun (maybe 11 bln) masih belum habis juga, meskipun tinggal dikit. Alasannya ya krn hampir gak ngaruh sama sekali makanya sempat gak dipake beberapa bulan. Ga ada efek2 apa2, baik maupun buruk. Jadi kayak sayang aja, buang duit doang (maap yaa). Ini juga baru pake lagi buat ngabisin doang biar gak sayang",3
"Combination, Medium Dark, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : XBeauty by Female Daily,"Serum dari Skintific bikin kulit flawless! Teksturnya lembut, ga bikin kering, dan hasilnya noticeable. Retinolnya bekerja tanpa bikin iritasi, cocok buat pemula retinol. Kulit jadi lebih kenyal dan pori-pori tampak menyusut. Packagingnya juga oke dan harganya reasonable. Recommended banget! ð«ð #Skintific #RetinolSerumReview",4
"Combination, Medium Light, Cool",Usage Period : 3 months - 6 monthsPurchase Point : Sociolla,Lagi sukak banget pakai serum dan nemuin product dari skintific gentle a retinol renewal serum. Kemasannya pump gitu jadi gampang dibawa kemana-mana tanpa tumpah. Ini juga punya efek melembapkan dan merawat kulit dari tanda penuan dini juga,5
"Combination, Dark, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Untuk yang punya kulit kering, produk ini cocok banget. Aku kulitku kering jadi keliatan kusam. Terus juga ada pori pori nonjol di bawah mata dan hidung. Kalo pake ini tonjolannya itu berkurang dan muka lebih cerah. Tekstur juga berkurang jauh. Btw aku pake sama moisturizernya juga. Ini lebih nampol daripada yg ceramide. Muka lebih mulus pokoknya. Aku pake ini sekali atau 2 kali seminggu Tapi ya di hari ke2 ga pake ini tekstur muka balik lagi",5
"Oily, Medium Light, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Eh bentar ... iya emang aku nulis No tp ini reference Pribadi Aku yaah, bagus kalo cocok ma temen - temen. Di aku brasa pelembab doang maahhhhh, ya lembab ya plumpy tapi ga ngubah apa dan g bikin tekstur muka aku membaik. biasssa ajaaah just not bad.",3
"Combination, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,"So far ini bagus banget sih serum yang ada anti agingnya dan juga encapsulated retinol di dalamnya. Pas dipake ga lengket sama sekali dan ga berbau menyengat juga , langsung menyerap di kulit dan bikin kulit kenyal. Buat aku yang udah kepala 3 pasti cari serum yang anti aging menghilangkan kerutan dan garis garis halus wajah sih.. dari aku bintang 5.",5
"Normal, Light, Cool",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Beli paketan sama moist-nya karena lagi diskon. Ini aku pakai sesekali sih jadi masih ada sisa. Overall ini serumnya bagus. Teksturnya watery gel, cepat menyerap, nggak ada feels cekat-cekit, aromanya juga tipis gitu jadi nggak mengganggu. Habis pemakaian wajah juga jadi terasa lembab. Cuma sama kayak moist-nya, kurangnya ada di packaging aja. Bedanya bukan bentukan packagingnya karena ini udah pakai pump jadi cocok untuk tekstur serumnya yang cair, cuma bagian plastik pump-nya itu mudah mengelupas, itu di foto kelihatan kelupasnya jadi kadang kalau nggak hati-hati suka nempel di tangan atau di serumnya pas di pump. Selebihnya nggak ada masalah, kok.",4
"Dry, Medium Dark, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Tiktok,"nah serum ini aku pake barengan juga sama moisnya dan ternyata ga ada efek sama sekali di aku sih padahal serum biasanya booster paling nampol. di aku berasa kaya lembab aja sama seperti moisnya ga ada efek apa2 setelah pemakaian, biasa kalau retinol langsung ada efek glowingnya dan ini ga ada sama sekali sih di akuð",1
